Milepoint,elevation_feet,DataPoint,Section,State_Prefix,State
158,5950,Saddle on Desert Dividejunction to Tunnel and Live Oak Springs,B6,Southern,California
159.4,6400,Cross private mining road,B6,Southern,California
160.1,6600,Climbers trail to Lion Peak,B6,Southern,California
162.3,6780,Cedar Spring Trail 4E17junction to Cedar Spring Camp,B7,Southern,California
163,6945,Saddle with a junction to Morris Ranch,B7,Southern,California
163.4,7080,Trail 4EO4,B7,Southern,California
166.3,5990,Fobes Ranch Trail 4EO2,B7,Southern,California
168.9,7430,Apache Spring Trail,B7,Southern,California
171.8,7200,Gap on San Jacintos crest,B8,Southern,California
175.2,8380,Above Andreas Canyon,B9,Southern,California
176.7,8075,Join Tahquitz Valley Trail,B9,Southern,California
177.3,8570,Tahquitz Peak Trail 3EO8,B9,Southern,California
178.6,8100,Saddle Junction,B9,Southern,California
180.5,9030,Wellmans Cienaga Trail,B9,Southern,California
181.5,8560,Strawberry Cienaga,B9,Southern,California
183,8070,Marion Ridge Trail 3E17,B9,Southern,California
184.9,8830,North Fork San Jacinto River below Deer Springs,B10,Southern,California
187.1,8725,Fuller Ridge,B10,Southern,California
190.2,7750,Fuller Ridge Trailhead remote campsite,B10,Southern,California
190.4,7670,Black Mountain Road 4SO1,B10,Southern,California
192.3,6860,Switchback in dirt road,B10,Southern,California
193.6,6390,Narrow gap,B10,Southern,California
195.9,5372,Falls Canyon &amp; One Horse Ridge Overlook,B10,Southern,California
198.3,4385,View of Fuller Ridge,B10,Southern,California
201.5,3200,Small saddle west of knob 3252,B10,Southern,California
205.6,1725,Snow Canyon Road water out of a fountain,B11,Southern,California
206.7,1225,Falls Creek Road,B11,Southern,California
206.8,1230,Snow Creek Road 3S01,B11,Southern,California
207.5,1195,Crossing jeep roads,B11,Southern,California
207.9,1210,Cross good gravel road,B11,Southern,California
208.6,1265,Join good dirt road,B11,Southern,California
209.4,1320,Headwaters of Stubble Canyon Creek,B11,Southern,California
209.6,1360,Tamarack Road,B11,Southern,California
210.1,1475,Second powerline road,C1,Southern,California
210.5,1580,Buried Colorado River Aqueduct,C1,Southern,California
210.6,1580,Pink Motel,C1,Southern,California
211.1,1690,Cottonwood Road,C1,Southern,California
211.6,1850,Cross two side-by-side roads,C1,Southern,California
211.8,1845,Gold Canyon Road,C1,Southern,California
213.8,2470,Dirt road,C1,Southern,California
215,3225,Narrow pass between Gold and Teutang Canyons,C1,Southern,California
215.7,2815,Teutang Canyon,C1,Southern,California
218.6,2285,Old jeep road in Whitewater Canyon close to Whitewater Creek,C1,Southern,California
220,2605,Two good camps,C2,Southern,California
221.2,3075,Ridgetop,C2,Southern,California
221.8,2918,West Fork Mission Creek Road,C2,Southern,California
222,3010,Veers from dirt road,C2,Southern,California
225.5,3060,East Fork Mission Creek Road,C2,Southern,California
226,3120,Cross East Fork Mission Creek,C2,Southern,California
226.9,3360,End of the dirt road next to East Fork of Mission Creek,C3,Southern,California
231.8,4830,Cross Mission Creek,C3,Southern,California
235,6110,Creekside camp,C4,Southern,California
239,7850,Jeep road built for logging,C4,Southern,California
239.3,7965,Meet Road I N93 with MISSION CREEK TRAIL CAMP sign,C4,Southern,California
239.9,8240,Road 1 N05,C4,Southern,California
240.5,8115,Road 1N05 crossing in a saddle,C4,Southern,California
242,7980,Junction with CRHT-marked trail to Heart Bar Creekearly spring time,C4,Southern,California
244.5,8510,Road 1N96,C4,Southern,California
245,8340,Road junction east of Peak 8588,C4,Southern,California
246.2,8090,Coon Creek Road 1N02,C4,Southern,California
247.7,8610,Beach a perpendicular trail,C4,Southern,California
248.3,8635,Cross dirt road,C4,Southern,California
248.9,8390,Cross jeep road,C4,Southern,California
249.2,8260,Better dirt road,C4,Southern,California
249.8,8100,Four roads and a trail,C4,Southern,California
250.8,8440,Junction,C4,Southern,California
251.9,8510,Dirt road just east of Highway 38 &amp; Onyx Summit,C4,Southern,California
252.9,8635,Road 1N01,C5,Southern,California
255,7885,Broom Flat Road 2NO1,C5,Southern,California
255.9,7605,Arrastre Trail Camp at Deer Spring,C5,Southern,California
257.4,7155,Road 2NO4,C5,Southern,California
261.2,6775,Arrastre Creek Road 2NO2,C6,Southern,California
265.3,6829,Highway 18,C6,Southern,California
267.3,6855,Doble Road 3NO8,C7,Southern,California
267.8,6880,Unsigned spur trail down to Doble Trail Camp,C7,Southern,California
272.1,7630,Second jeep road,C7,Southern,California
272.4,7560,Cross a better road,C7,Southern,California
274.1,7260,Van Dusen Canyon Road 3NO9 next to Caribou Creek,C7,Southern,California
275.7,7720,Bertha Peak first jeep road,C8,Southern,California
276.4,7735,Bertha Peak second jeep road,C8,Southern,California
276.8,7680,Cougar Crest Trail 1 F22,C8,Southern,California
277.6,7550,Holcomb Valley Road 2NO9,C8,Southern,California
280.2,7755,Road 3Nl2 atop a saddlejunction to Delamar Spring,C8,Southern,California
281,7610,Cross dirt road,C8,Southern,California
282.1,7305,Cross jeep road,C8,Southern,California
284.6,6600,Little Bear Springs Trail Camp,C9,Southern,California
284.9,6510,Holcomb Creek,C9,Southern,California
286.9,6485,Reach a saddle,C9,Southern,California
287.7,6350,Cross a dirt road,C9,Southern,California
291.2,5465,Crab Flats Road 3N16,C10,Southern,California
291.4,5430,Cross Holcomb Creek,C10,Southern,California
292.4,5325,Cienega Redonda Trail next to Cienega Redonda Fork of Holcomb Creek,C10,Southern,California
292.8,5230,Junction with Hawes Ranch Trail,C10,Southern,California
293.1,5190,Holcomb Crossing Trail Camp,C10,Southern,California
297.2,4580,90-toot steel-and-wood bridge spanning Deep Creek,C11,Southern,California
299.8,4255,Bacon Flats Road 3N20,C11,Southern,California
306.6,3535,Deep Creek Hot Spring,C12,Southern,California
308.6,3315,Cross Deep Creek via bridge,C12,Southern,California
311.6,3131,Mojave River Forks Reservoir Dam,C13,Southern,California
312.1,2990,Deep Creek ford,C13,Southern,California
312.7,3010,Torn-up paved road,C13,Southern,California
313.1,3190,Highway 173,C13,Southern,California
313.5,3205,Little-used jeep road,C13,Southern,California
315.2,3470,Trailside spring,C13,Southern,California
316.7,3430,Jeep road atop a saddle,C14,Southern,California
317,3330,Grass Valley Creek,C14,Southern,California
317.7,3480,Steep jeep road,C14,Southern,California
320.3,3480,North-descending jeep road halfway to Silverwood Lake,C14,Southern,California
322.5,3400,Road 2N33,C14,Southern,California
322.9,3170,Poorly paved road,C14,Southern,California
323.2,3175,Highway 173,C14,Southern,California
323.7,3200,Very poor dirt road south of Mojave Siphon Power Plant,C15,Southern,California
324.3,3460,First saddle in Silverwood Lake State Recreation,C15,Southern,California
326.8,3580,Unsigned spur trail to Garces Overlook,C15,Southern,California
327.6,3455,Cross jeep road,C15,Southern,California
328.3,3390,Two-lane bike path to Cleghorn Picnic Area,C15,Southern,California
328.4,3380,Signed junction to group-camp complex,C15,Southern,California
328.5,3390,Silverwood Lake State Recreation Areas entrance road,C15,Southern,California
328.6,3395,Off ramp west,C15,Southern,California
329,3440,Small picnic area,C15,Southern,California
329.4,3530,Narrow paved road to water tank,C15,Southern,California
331.6,4040,Leave SRA and Join jeep road,C15,Southern,California
331.9,4160,Road atop viewful Cleghorn Ridge,C15,Southern,California
332.8,3830,Small stream,C15,Southern,California
335.6,3570,Little Horsethief Canyons dry creek bed,C16,Southern,California
338.1,3840,Road under a huge power-transmission line,C17,Southern,California
340.5,3355,Cross Road 3N44,C17,Southern,California
340.9,3300,Cross another road,C17,Southern,California
341.1,3265,Descending dirt road,C17,Southern,California
341.4,3140,Better dirt road end of descent,C17,Southern,California
341.7,3045,Crowder Canyon,C17,Southern,California
342.1,3000,Road before Interstate 15 in Cajon Canyon,C17,Southern,California
342.5,2930,PCT trail resumes,D1,Southern,California
343.3,3020,Southern Pacific Railroad tracks,D1,Southern,California
344.5,3360,Road 3N78 second powerline road,D1,Southern,California
347.4,3560,Swarthout Canyon Road 3N28,D1,Southern,California
347.9,3700,Jeep road,D1,Southern,California
352,5150,Sharpless Ranch Road 3N29,D2,Southern,California
352.9,5260,Gap in the ridge,D2,Southern,California
356.4,6300,Sheep Creek Truck Road 3N31,D2,Southern,California
356.6,6350,Viewpoint on ridge-top flat,D2,Southern,California
357.4,6480,Roadend just east of Gobbers Knob,D2,Southern,California
361.8,8115,Jeep road atop Blue Ridge,D3,Southern,California
361.9,8176,Posted trailhead,D3,Southern,California
363.6,8250,Acorn Canyon Trail,D3,Southern,California
364.6,8225,Guffy Campground,D3,Southern,California
366.8,8115,Dirt road beside an artificial lake,D4,Southern,California
366.9,8120,PCT pathway on the west side of the reservoir,D4,Southern,California
367.3,7955,Road 3NO6,D4,Southern,California
367.4,7910,Blue Ridge Campground,D4,Southern,California
369.5,7386,Angeles Crest Highway 2,D4,Southern,California
370.5,7300,Grassy Hollow Family Campground,D4,Southern,California
371.6,7480,Spur to walk-in Jackson Flat Group Campground,D5,Southern,California
373.2,7220,Road 3N26,D5,Southern,California
374,6585,Vincent Gap,D5,Southern,California
375.7,7765,Side trail to Lamel Spring,D5,Southern,California
378,9245,Mt. Baden-Powell Spur Trail,D5,Southern,California
381.9,8540,Lateral trail to Lily Spring,D6,Southern,California
383.7,7588,Windy Gap,D6,Southern,California
383.8,7460,Little Jimmy Spring,D6,Southern,California
384,7450,Little Jimmy Campground,D6,Southern,California
385.1,7360,Cross RoadTrail 3NO4,D6,Southern,California
386.1,6670,Angeles Crest Highway 2,D6,Southern,California
387.8,7900,Mt. Williamson Summit Trail,D6,Southern,California
389.3,6700,Angeles Crest Highway 2,D6,Southern,California
390.2,6650,Eagles Roost Picnic Area,D7,Southern,California
391.5,6165,Rattlesnake Trail 1 OVV03,D7,Southern,California
391.8,6080,Little Rock Creek,D7,Southern,California
393.8,5640,Burkhart Trail 1 10W02 next to Little Rock Creek,D7,Southern,California
394.1,5730,Leave Burkhart Trail,D7,Southern,California
395.3,6240,Cooper Canyon Trail Campground,D7,Southern,California
396.3,6700,Climb to a gap east of Winston Peak,D7,Southern,California
396.9,6640,Dirt road to Cooper Canyon Trail Campground,D7,Southern,California
397.3,6530,Headwaters of Cooper Canyon Creek,D7,Southern,California
398.1,7018,Cloudburst Summit,D7,Southern,California
398.9,6735,Second highway crossing below a hairpin turn,D8,Southern,California
399.5,6545,Road Junction in Cloudburst Canyon,D8,Southern,California
400.7,6400,Camp Glenwood,D8,Southern,California
401.2,6320,Highway 2,D8,Southern,California
403.2,5885,Three Points on Angeles Crest Highway,D8,Southern,California
404.7,5760,Unused dirt road,D8,Southern,California
404.9,5655,Another dirt road leads to Pasadena Camp,D8,Southern,California
406.8,5240,Signed trail junctionhikers left horses right,D8,Southern,California
406.9,5200,Sulphur Springs Campground,D8,Southern,California
407.4,5265,Merge with the foot trail,D8,Southern,California
407.6,5320,Little Rock Creek Road 5NO4,D8,Southern,California
410,5830,Gap at the head of Bare Mountain Canyon,D8,Southern,California
410.6,6240,Shaded Fiddleneck Spring,D9,Southern,California
411.1,6440,Fountainhead Spring,D9,Southern,California
412.4,6760,Ridgetop vista point,D9,Southern,California
413.1,6645,Shady gap near Pacifico Mountain Campground,D9,Southern,California
414.7,6380,Jeep road,D9,Southern,California
415.1,6210,Trail resume,D9,Southern,California
418.5,4980,Signed spur trail to Pacifico Mountain Road 3N17 trailhead,D9,Southern,California
418.7,4910,Mill Creek Summit Ranger Station,D9,Southern,California
421.2,5590,Cross Mt. Gleason Road,D10,Southern,California
424.3,5640,Signed side trail,D10,Southern,California
424.9,5500,Road 4N24,D10,Southern,California
425.7,5195,Shady campsite Just below trail,D10,Southern,California
429.5,6360,Junction with a south-branching trail,D11,Southern,California
429.9,6410,Mt. Gleasons north ridge,D11,Southern,California
430.7,5870,Messenger Flats Campground,D11,Southern,California
432.2,5320,Moody Canyon Road,D11,Southern,California
433.4,5425,Santa Clara Divide Road,D11,Southern,California
433.5,5395,PCT trail resumes,D11,Southern,California
434.2,5395,West-descending jeep track,D12,Southern,California
436.2,4210,BPL Road 4N32 Nork Fork Saddle Banger Station,D12,Southern,California
440.2,2685,Mattox Canyon creek,D12,Southern,California
443.1,2640,Cross Indian Canyon Road 4N37,D13,Southern,California
444.2,2237,Soledad Canyon Road,D13,Southern,California
444.3,2205,Santa Clara River ford,D13,Southern,California
444.5,2243,Southern Pacific Railroad tracks,D13,Southern,California
444.9,2485,Saddle out of the canyon,D13,Southern,California
446.2,2960,Young Canyon Road,D13,Southern,California
446.9,2780,Gap near the head of Bobcat Canyon,D13,Southern,California
448.5,3160,Jeep road separating Soledad and Escondido canyons,D13,Southern,California
449,2960,Saddle during the descent,D13,Southern,California
450.9,2400,Canyon bottom,D13,Southern,California
451,2370,Antelope Valley Freeway 14,D13,Southern,California
451.8,2335,Cross to the canyons north side,D13,Southern,California
451.9,2323,Junction with VRCP trail,D13,Southern,California
452.6,2435,Junction on dirt road descending west,D13,Southern,California
452.8,2485,Gate at a large parking area,D13,Southern,California
453.5,2510,Escondido Canyon Road,D13,Southern,California
453.9,2470,Agua Dulce Canyon Road,D13,Southern,California
454.4,2530,Darling Road (downtown Agua Dulce),D13,Southern,California
456.2,2725,Old Sierra Highway,E2,Southern,California
456.3,2730,Mint Canyon Road,E2,Southern,California
456.5,2755,Petersen Road,E2,Southern,California
456.6,2750,Dirt road,E2,Southern,California
457,2905,Angeles National Forest boundary,E3,Southern,California
458.5,2865,Mint Canyon step-across creek,E3,Southern,California
459.6,3330,Big Tree Trail 14VV02,E3,Southern,California
462.3,4500,Sierra Pelona Ridge Road 6N07,E3,Southern,California
462.6,4555,Up to a low saddle,E3,Southern,California
463.3,4350,Bear Spring,E3,Southern,California
464,3995,Ridgetop-firebreak jeep trail,E3,Southern,California
464.6,3785,Junction with the old PCT trail,E3,Southern,California
465.6,3340,Bouquet Canyon Road 6NO5,E3,Southern,California
468.3,3985,Old California Riding and Hiking Trail (CRHT),E3,Southern,California
469.6,4300,Pass with another firebreak above Leona Divide Road,E5,Southern,California
471.6,3725,Road 6NO9,E5,Southern,California
473.8,3815,Ridge with a firebreak,E5,Southern,California
478.6,3385,San Francisquito Canyon Road,E5,Southern,California
479,3520,Dirt road above San Francisquito Canyon,E5,Southern,California
480.2,4275,Grass Mountain Road,E5,Southern,California
481.6,3900,Saddle where four dirt roads converge,E6,Southern,California
482.9,3900,Tule Canyon Road 7N01,E6,Southern,California
486.3,3050,Elizabeth Lake Canyon Road 7NO9,E6,Southern,California
487.7,3710,Trailside wet-season spring,E6,Southern,California
488.4,4190,Sawmill-Liebre Firebreak,E6,Southern,California
490.4,4505,Maxwell Truck Trail 7N08,E7,Southern,California
493.5,4680,Cross two dirt roads,E7,Southern,California
494,4805,Ascend to a trail intersection with Upper Shake Campground,E7,Southern,California
496.8,5245,Ridgetop road junction above Shake Canyon,E7,Southern,California
498.8,5015,Ridgenose to a junction with a spur trail to Sawmill Campground,E8,Southern,California
500,4790,Road crossing,E8,Southern,California
500.7,4705,Atmore Meadows Spur Road 7NI9,E8,Southern,California
502.7,5655,Up to a grassy saddle,E8,Southern,California
504.8,5370,Spur trail to waterless Bear Campground,E9,Southern,California
505.1,5545,Liebre Mountain Truck Trail 7N23,E9,Southern,California
506,5580,North- descending dirt road,E9,Southern,California
507.2,5745,jeep road,E9,Southern,California
507.3,5720,Dirt road,E9,Southern,California
508.3,5140,Jeep track ends,E9,Southern,California
510.8,3995,Levels out at a dirt road spur,E9,Southern,California
511.4,3810,Small pond,E9,Southern,California
511.7,3845,Pine Canyon Road,E9,Southern,California
515.5,3522,Cross a jeep road,E10,Southern,California
517.6,3175,Over-engineered switchbacks to merge with a good jeep road,E10,Southern,California
518.4,3040,Highway 138,E10,Southern,California
518.9,2992,Neenach School Road,E10,Southern,California
519.2,2970,Pavement ends,E10,Southern,California
520.2,2965,Pair of roads that bridge the aqueduct at a siphon,E10,Southern,California
520.5,2965,Los Angeles Aqueductturning east,E10,Southern,California
523.7,3090,Straight-north course turns east,E11,Southern,California
529.2,3110,Intersection with a good dirt road after Little Oak Canyon Creek,E12,Southern,California
532.2,2893,Ignore dirt roadcontinue on better road,E12,Southern,California
532.6,2915,Triangular junction,E12,Southern,California
533.2,3105,Los Angeles Aqueductunderground,E12,Southern,California
534.8,3120,Cottonwood Creek bridge,E12,Southern,California
534.9,3120,Next dirt road,E12,Southern,California
535.3,3160,Resumption of PCT trail,E12,Southern,California
535.8,3250,Bike path overlooking Cottonwood Creek,E12,Southern,California
536.8,3465,East-west jeep road,E12,Southern,California
537.3,3609,T Junction poor dirt roads,E12,Southern,California
537.7,3800,Up to a vieful and breezy knoll,E13,Southern,California
537.9,3790,Poor jeep road that traces the south boundary of a barbed-wire fence,E13,Southern,California
538.6,4070,Join good jeep road,E13,Southern,California
538.9,4120,End of the fence,E13,Southern,California
541.1,4960,Rough jeepdirtbike path west of Tylerhorse Canyon,E13,Southern,California
541.4,4840,Tylerhorse Canyon,E13,Southern,California
544.3,4960,Saddle overlooking Gamble Spring Canyon,E13,Southern,California
544.9,4625,Gamble Spring Canyon,E13,Southern,California
548,6070,Cross a jeep road,E13,Southern,California
550.8,5980,Headwaters of Burnham and Pitney canyons,E14,Southern,California
558,4075,Cross Oak Creek via steel bridge,E15,Southern,California
558.3,4150,Paved Tehachapi-Willow Springs Road,E15,Southern,California
559,4165,One good dirt road with plastic marker-posts,E15,Southern,California
559.2,4160,Second dirt road,E15,Southern,California
559.7,4495,Up to a small saddle,E15,Southern,California
560.2,4560,Viewful ridgetop,E15,Southern,California
561.8,4485,Fourth good dirt road,E16,Southern,California
562.3,4600,Down to a saddle with a poor dirt road,E16,Southern,California
563.2,4765,Cross a dirt road,E16,Southern,California
565.3,3905,Cameron Road,E16,Southern,California
565.8,3824,Atchison Topeka and Santa Fe and Southern Pacific Railroad tracks,E16,Southern,California
566.6,3830,Tehachapi Pass (Highway 58) start of Sierra Nevada,E16,Southern,California
567.8,3780,Gate opposite the Cameron Road Exit I mile sign,F1,Southern,California
575.2,6120,Trail end after the head of Waterfall Canyon,F2,Southern,California
579.1,6000,0.2 mile from the gated road after the Sky River Ranch sign,F3,Southern,California
583.4,5480,Golden Oaks Spring,F4,Southern,California
590.1,5102,Cross a green gate in a cattle fence,F5,Southern,California
593.2,5010,Cross below a camping area by an east-west road,F5,Southern,California
596.7,5530,Hamp Williams Pass,F5,Southern,California
599.9,5620,Curve of a private dirt road,F6,Southern,California
600.7,5996,T junction,F6,Southern,California
601.1,6160,Ascend along a tight right curve PCT path on left,F6,Southern,California
602.2,6360,Cross a dirt road leading to Robin Bird Spring,F7,Southern,California
602.6,6620,Jawbone Canyon Road,F7,Southern,California
604.4,6480,Log footbridge over branch of Cottonwood Creek,F7,Southern,California
605.4,6720,Logging road,F7,Southern,California
607.3,6300,Landers Creek,F7,Southern,California
608.2,6220,Piute Mountain Road,F7,Southern,California
608.9,6300,SNF Road 29SO5,F7,Southern,California
611.2,6620,Piute Mountain Road again summit of Harris Grade,F7,Southern,California
616,4953,Kelso Valley Road at a pass,F9,Southern,California
618.1,4540,Butterbredt Canyon Road SC 123 to a spring,F9,Southern,California
622.2,5283,Slopes of Pinyon Mountain multi-road-and-path junction to Willow Spring Road SC103,F10,Southern,California
623.8,5382,Another multi-road-and-trail junction,F10,Southern,California
624.9,5700,A ridgecrest saddle,F10,Southern,California
625.7,5300,Road SC328 on a crestline saddle,F10,Southern,California
625.9,5380,Road SC47 on another crestline saddle,F10,Southern,California
628.9,5740,Road SC42,F10,Southern,California
631.4,5355,Junction at Bird Spring Pass,F11,Southern,California
633.8,6460,Ridge with a westward orientation,F11,Southern,California
635.1,6940,Highest point before Walker Pass and beyond,F11,Southern,California
637.4,6260,Road to Yellow Jacket Spring,F11,Southern,California
641.9,6670,Join the road to McIvers Spring,F12,Southern,California
644.1,6680,Junction to Mclvers Spring,F12,Southern,California
647.1,6680,Curve around a sharp canyon crease,F13,Southern,California
649.3,5860,Ridgeline saddle after Jacks Creek,F13,Southern,California
651.4,5100,Path leading to Walker Pass Trailhead Campground,F13,Southern,California
652,5246,Historical Market,F13,Southern,California
654.2,6190,Trailside medium-sized campsite,G1,Southern,California
656.1,6585,North facing slopes to a saddle,G2,Southern,California
656.9,6500,MorrisJenkins saddle,G2,Southern,California
657.2,6580,Commemorative plaque,G2,Southern,California
658.6,6950,Rounded point of a ridge,G2,Southern,California
660.8,7020,JenkinsOwens saddle,G1,Southern,California
662.2,6300,A lesser saddle,G1,Southern,California
663.2,5500,Bough dirt toad,G1,Southern,California
664.1,5360,Joshua Tree Spring,G1,Southern,California
665.3,5240,Cross a ridge at a saddle,G1,Southern,California
666.7,5860,Northwest to another saddle,G3,Southern,California
668.6,5160,Branch of Spanish Needle Creek,G3,Southern,California
669,5300,Spring-fed branch of Spanish Needle Creek,G3,Southern,California
669.7,5560,Spring-fed streamlet,G3,Southern,California
670.3,5620,Spanish Needle Creek (third encounter),G3,Southern,California
673.2,6800,Ridge between Spanish Needle Group and Lamont Peak,G4,Southern,California
676.6,6900,Second broader saddle,G4,Southern,California
678,6260,Sierra crest saddle with limited views,G4,Southern,California
678.8,5950,Seasonal creek,G4,Southern,California
681.3,5555,Canebrake Road,G4,Southern,California
683.6,6580,Fox Mill Spring,G4,Southern,California
683.7,6580,Dirt road,G4,Southern,California
687.7,8020,Trail summit,G5,Southern,California
687.9,7980,Road crossing,G5,Southern,California
689.6,7220,Long Valley Loop Road,G5,Southern,California
692.2,6600,Spur ridge - last camp before Rockhouse Basin,G6,Southern,California
694,5845,First creek after Rockhouse Basin (Manter Creek),G6,Southern,California
697.4,5870,Seasonal creek,G6,Southern,California
